,Unnamed: 0,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score
29,29,female,group D,master's degree,standard,none,62,70,75,207
535,535,female,group C,bachelor's degree,free/reduced,completed,66,83,83,232
695,695,female,group D,some college,free/reduced,none,79,89,86,254
557,557,male,group C,master's degree,free/reduced,none,61,67,66,194
836,836,male,group E,high school,standard,none,73,64,57,194
596,596,male,group B,high school,free/reduced,none,30,24,15,69
165,165,female,group C,bachelor's degree,standard,completed,96,100,100,296
918,918,female,group C,associate's degree,standard,completed,57,77,80,214
495,495,male,group D,high school,standard,completed,68,64,66,198
824,824,female,group C,some high school,free/reduced,none,48,58,52,158
65,65,male,group B,some high school,standard,none,67,64,61,192
141,141,female,group C,some college,free/reduced,none,59,62,64,185
925,925,male,group E,some high school,standard,completed,74,64,60,198
827,827,female,group C,some high school,standard,none,65,69,76,210
655,655,female,group B,some college,standard,none,62,67,67,196
331,331,male,group C,associate's degree,standard,none,47,37,35,119
664,664,male,group D,associate's degree,standard,none,80,63,63,206
249,249,male,group C,high school,standard,none,68,60,53,181
907,907,female,group D,some college,standard,completed,79,84,91,254
708,708,male,group D,high school,standard,none,89,87,79,255
305,305,male,group A,some college,standard,none,69,67,69,205
734,734,female,group E,some college,free/reduced,none,53,58,57,168
975,975,female,group C,some college,standard,completed,64,82,77,223
49,49,male,group C,high school,standard,completed,82,84,82,248
896,896,male,group B,high school,free/reduced,none,36,29,27,92
2,2,female,group B,master's degree,standard,none,90,95,93,278
544,544,female,group D,master's degree,standard,none,64,63,66,193
350,350,female,group B,bachelor's degree,standard,none,52,65,69,186
904,904,female,group D,some high school,free/reduced,none,67,84,84,235
536,536,male,group C,associate's degree,standard,completed,51,60,58,169
344,344,male,group D,some college,standard,none,79,73,67,219
994,994,male,group A,high school,standard,none,63,63,62,188
481,481,female,group D,associate's degree,free/reduced,none,52,59,56,167
575,575,male,group A,associate's degree,free/reduced,completed,40,55,53,148
33,33,male,group D,some college,standard,none,40,42,38,120
31,31,female,group B,some college,standard,none,63,65,61,189
231,231,male,group C,associate's degree,standard,none,46,43,42,131
963,963,female,group C,some high school,free/reduced,completed,65,76,75,216
192,192,female,group B,some high school,standard,none,62,64,66,192
333,333,male,group B,associate's degree,standard,none,90,78,81,249
3,3,male,group A,associate's degree,free/reduced,none,47,57,44,148
204,204,male,group C,some college,standard,none,59,41,42,142
514,514,female,group B,master's degree,free/reduced,completed,77,97,94,268
799,799,female,group C,associate's degree,standard,none,52,55,57,164
306,306,male,group E,some college,standard,completed,99,87,81,267
109,109,female,group B,some high school,standard,none,70,64,72,206
430,430,male,group C,associate's degree,free/reduced,none,64,66,59,189
77,77,male,group A,bachelor's degree,standard,completed,80,78,81,239
84,84,male,group D,high school,free/reduced,none,42,39,34,115
286,286,male,group E,associate's degree,standard,completed,97,82,88,267
82,82,male,group A,some college,free/reduced,completed,50,47,54,151
991,991,female,group B,some high school,standard,completed,65,82,78,225
789,789,female,group C,master's degree,free/reduced,none,52,65,61,178
894,894,female,group E,associate's degree,standard,none,59,62,69,190
398,398,male,group B,some high school,standard,none,74,63,57,194
323,323,female,group C,some high school,free/reduced,none,43,53,53,149
